type_propusk,name_dataset,metric_impute,metric_model,kl_divergence
MCAR_15,2dplanes_regression_y.csv,R2,R2,1.7912917494993035
MCAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,1.7919748226943415
MCAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,1.792978634007208
MCAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,1.7976610719212658
MCAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,1.8064377232091837
MCAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.8068229634537285
MCAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.817575009015666
MCAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,4.0943848299233965
MCAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.8370318864619433
MCAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.795022571830388
MCAR_15,2dplanes_regression_y.csv,mean_ratio,R2,3.6659296106704047
MCAR_30,2dplanes_regression_y.csv,RMSE,R2,1.6134717355909785
MCAR_30,2dplanes_regression_y.csv,MAE,R2,1.6115713181664995
MCAR_30,2dplanes_regression_y.csv,R2,R2,1.6076505175314404
MCAR_30,2dplanes_regression_y.csv,KL_divergence_median,R2,1.6086058023031118
MCAR_30,2dplanes_regression_y.csv,KL_divergence_max,R2,1.6127831654643021
MCAR_30,2dplanes_regression_y.csv,KS_statistic_median,R2,1.6216387018691667
MCAR_30,2dplanes_regression_y.csv,KS_statistic_max,R2,1.6223667738628935
MCAR_30,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.6525308328211947
MCAR_30,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.6779990998584542
MCAR_30,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,6.000858076490459
MCAR_30,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.6786563829356522
MCAR_30,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.6260313881891568
MCAR_30,2dplanes_regression_y.csv,mean_ratio,R2,6.063442196416917
MCAR_50,2dplanes_regression_y.csv,RMSE,R2,1.616867902559874
MCAR_50,2dplanes_regression_y.csv,MAE,R2,1.6145349429724003
