type_propusk,method_zapolnenia,name_dataset,RMSE,MAE,R2,KL_divergence_median,KL_divergence_max,KS_statistic_median,KS_statistic_max,Wasserstein_2_median,Wasserstein_2_max,kl_w_vs_w_hat,ks_w_vs_w_hat,wasserstein_2_w_vs_w_hat,mean_ratio,model_R2,model_F1
MAR_5,KNN15,2dplanes_binclass_binaryClass.csv,0.1842152845494785,0.0341173788020033,0.9500697058046778,0.0163933281370105,0.0204593783673722,0.3239305337519623,0.3315835949764521,0.1414564289335648,0.1818814100983505,7.639535348178726,0.778,0.0120090581063339,1.881589686640157,,0.825056910125593
MAR_5,MEAN_MODE,2dplanes_binclass_binaryClass.csv,0.2608729827789739,0.0423616562009419,0.8998684335691475,0.0267547650131687,0.0436387319556315,0.0325745682888539,0.033899136577708,0.2224299406395992,0.318207301880665,1.2324309149349004,0.782,0.0428798118695079,3.584738476532407,,0.8145345998549731
MAR_5,MEDIAN_MODE,2dplanes_binclass_binaryClass.csv,0.2608729827789739,0.0423616562009419,0.8998684335691475,0.0267547650131687,0.0436387319556315,0.0325745682888539,0.033899136577708,0.2224299406395992,0.318207301880665,1.2324309149349004,0.782,0.0428798118695079,3.584738476532407,,0.8145345998549731
MAR_5,MICE,2dplanes_binclass_binaryClass.csv,0.2368923577359629,0.037132510346796,0.9174314033618785,0.0268629071726413,0.0296992866740133,0.0008339874411303,0.0013245682888539,0.0357142857142857,0.0417320261839651,0.1237608415144213,0.04,0.00027637067061,1.0097741680408572,,0.8373452176642946
MAR_5,NUL_MODE,2dplanes_binclass_binaryClass.csv,0.2608729827789739,0.0423616562009419,0.8998684335691475,0.0267547650131687,0.0436387319556315,0.0325745682888539,0.033899136577708,0.2224299406395992,0.318207301880665,1.2324309149349004,0.782,0.0428798118695079,3.584738476532407,,0.8145345998549731
MAR_5,missForest,2dplanes_binclass_binaryClass.csv,0.254311158073321,0.0413849543313829,0.9048423663555812,0.0290231575928201,0.037882741678321,0.0026981946624803,0.0074813579277864,0.0677268848111046,0.1087336122371609,0.4570442696814641,0.152,0.0021936214365925,1.1533390114773052,,0.8194655628779364
MAR_15,KNN15,2dplanes_binclass_binaryClass.csv,0.3201806044772985,0.1026455790951615,0.8491647515905797,0.0473069397926513,0.0665950872954662,0.3189511381475667,0.3353120094191523,0.2446425792195935,0.3133463535580986,0.6576652602431136,1.0,0.0571410790457885,5.07394513432642,,0.7999368845322385
MAR_15,MEAN_MODE,2dplanes_binclass_binaryClass.csv,0.4392352537151128,0.1236977308405879,0.7161380495932206,0.0748021064843893,0.1234751411422078,0.0996860282574567,0.1012068288854003,0.3890298080131688,0.5501712306596247,11.295966486957749,0.926,0.1515605172755608,10.337863253076591,,0.7873947147285876
MAR_15,MEDIAN_MODE,2dplanes_binclass_binaryClass.csv,0.4392352537151128,0.1236977308405879,0.7161380495932206,0.0748021064843893,0.1234751411422078,0.0996860282574567,0.1012068288854003,0.3890298080131688,0.5501712306596247,11.295966486957749,0.926,0.1515605172755608,10.337863253076591,,0.7873947147285876
MAR_15,MICE,2dplanes_binclass_binaryClass.csv,0.3580065729755619,0.097712555301841,0.8114203596531304,0.0624002928847875,0.0661449163170332,0.0241856357927786,0.0273744113029827,0.2154273617595092,0.2296997391654689,11.210547484682266,0.878,0.0208235368269799,2.4857783464273204,,0.8518649036162248
