type_propusk,name_dataset,metric_impute,metric_model,kl_divergence
MCAR_15,2dplanes_regression_y.csv,R2,R2,1.7910761171087572
MCAR_15,2dplanes_regression_y.csv,KL_divergence_median,R2,1.7923199258626403
MCAR_15,2dplanes_regression_y.csv,KL_divergence_max,R2,1.7931766478729578
MCAR_15,2dplanes_regression_y.csv,KS_statistic_median,R2,1.7939964633766137
MCAR_15,2dplanes_regression_y.csv,KS_statistic_max,R2,1.8007314436548731
MCAR_15,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.8036451665208295
MCAR_15,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.8134540118924578
MCAR_15,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,4.028914360319947
MCAR_15,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.8288322154571304
MCAR_15,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.7943118803845484
MCAR_15,2dplanes_regression_y.csv,mean_ratio,R2,3.624265607660419
MCAR_30,2dplanes_regression_y.csv,RMSE,R2,1.6118537512791788
MCAR_30,2dplanes_regression_y.csv,MAE,R2,1.6106880733572546
MCAR_30,2dplanes_regression_y.csv,R2,R2,1.6084695660815322
MCAR_30,2dplanes_regression_y.csv,KL_divergence_median,R2,1.6091820127044312
MCAR_30,2dplanes_regression_y.csv,KL_divergence_max,R2,1.6114612390546224
MCAR_30,2dplanes_regression_y.csv,KS_statistic_median,R2,1.6171393141801662
MCAR_30,2dplanes_regression_y.csv,KS_statistic_max,R2,1.6176660851730382
MCAR_30,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.6407656990954833
MCAR_30,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.6617506850254071
MCAR_30,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,5.623854501129233
MCAR_30,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.661974809055254
MCAR_30,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.6202916440136017
MCAR_30,2dplanes_regression_y.csv,mean_ratio,R2,5.746876734624303
MCAR_50,2dplanes_regression_y.csv,RMSE,R2,1.6142039526902625
MCAR_50,2dplanes_regression_y.csv,MAE,R2,1.612669112143445
MCAR_50,2dplanes_regression_y.csv,R2,R2,1.606861143058916
MCAR_50,2dplanes_regression_y.csv,KL_divergence_median,R2,1.6067669893674608
MCAR_50,2dplanes_regression_y.csv,KL_divergence_max,R2,1.6128863265918065
MCAR_50,2dplanes_regression_y.csv,KS_statistic_median,R2,1.632581142769564
MCAR_50,2dplanes_regression_y.csv,KS_statistic_max,R2,1.633355255554015
MCAR_50,2dplanes_regression_y.csv,Wasserstein_2_median,R2,1.6665672277115868
MCAR_50,2dplanes_regression_y.csv,Wasserstein_2_max,R2,1.7047612628705608
MCAR_50,2dplanes_regression_y.csv,kl_w_vs_w_hat,R2,5.135928024831916
MCAR_50,2dplanes_regression_y.csv,ks_w_vs_w_hat,R2,1.6553002346228707
MCAR_50,2dplanes_regression_y.csv,wasserstein_2_w_vs_w_hat,R2,1.6359760152506857
MCAR_50,2dplanes_regression_y.csv,mean_ratio,R2,7.780825863881373
MNAR_5,2dplanes_regression_y.csv,RMSE,R2,1.7906780304155308
MNAR_5,2dplanes_regression_y.csv,MAE,R2,1.7917925023275891
